Week,Home,Away,Game,Winner,Loser,Score,Comments,Games List,The Rulebook
Monday,,,,,,,,,(Red indicates game is played best 2 out of 3)
1,Kim & Ron,P^5,Basketball,Kim & Ron,P^5,170-141,,Pool,
1,SOAs,BFTs,Anagrams,SOAs,BFTs,21200-19100,This isn't a complete score...,Cup Pong,
1,C & K,2-10ers 1CP,Cup Pong,2-10ers 1CP,C & K,4,,Archery,
1,NCHs,PTCs,Basketball,NCHs,PTCs,174-172,,Anagrams,
1,P^5,Kim & Ron,Pool,Kim & Ron,P^5,1 OT 8,,Darts,1 game starting from 301
1,BFTs,SOAs,Golf,SOAs,BFTs,37-41,Golf.,Basketball,
1,2-10ers 1CP,C & K,Darts,C & K,2-10ers 1CP,116,,Knockout,
1,PTCs,NCHs,Pool,PTCs,NCHs,1 OT 6,,Word Hunt,
Tuesday,,,,,,,,,
1,Kim & Ron,C & K,Golf,C & K,Kim & Ron,33-34,,Golf,a single 5 hole game
1,SOAs,NCHs,Archery,SOAs,NCHs,3-0-1,,The Rulebook,look at the rulebook for the comprehensive rules for each game
1,C & K,Kim & Ron,Word Hunt,C & K,Kim & Ron,23500-12100:21500-17200,,,
1,NCHs,SOAs,Darts,NCHs,SOAs,9,,Teams,Team Members
1,P^5,2-10ers 1CP,Archery,2-10ers 1CP,P^5,3-0,,Kimpossible And Ronstoppable,Alyssa & Dani
1,BFTs,PTCs,Darts,PTCs,BFTs,98,,Sons Of AnaRgrams,Siegel & Ezra
1,2-10ers 1CP,P^5,Knockout,2-10ers 1CP,P^5,3-0,,The commish and the kid,Brick & Ving
1,PTCs,BFTs,Archery,PTCs,BFTs,2-0,,Non Creative Hacks,Goldstein & Shmuli
Wednesday,,,,,,,,Programmers for the progress of peaceful pigeon pooping,Hagler & David
1,Kim & Ron,SOAs,Darts,Kim & Ron,SOAs,1,,Blunt Force Traumas,Ennis & Elie
1,SOAs,C & K,Anagrams,SOAs,C & K,20700-11400:35200-31400,,Two Tenors One Cup Pong,Zach & Moshe
1,C & K,NCHs,Pool,C & K,NCHs,7,,Parent Teacher Conferences,Yitzie & Judah
1,NCHs,Kim & Ron,Basketball,Kim & Ron,NCHs,175-172,,,
1,P^5,BFTs,Pool,P^5,BFTs,4,,,
1,BFTs,2-10ers 1CP,Cup Pong,BFTs,2-10ers 1CP,1,,,
1,2-10ers 1CP,PTCs,Golf,PTCs,2-10ers 1CP,29-30,,,
1,PTCs,P^5,Basketball,PTCs,P^5,165-158,,,
Thursday,,,,,,,,,
1,Kim & Ron,BFTs,Basketball,Kim & Ron,BFTs,178-139,,,
1,SOAs,2-10ers 1CP,Golf,2-10ers 1CP,SOAs,31-38,,,
1,C & K,PTCs,Basketball,C & K,PTCs,184-169,,,
1,NCHs,P^5,Golf,NCHs,P^5,32-38,,,
1,P^5,C & K,Cup Pong,P^5,C & K,1,,,
1,BFTs,NCHs,Knockout,BFTs,NCHs,3-1,,,
